rgb_change,number_of_blinks_per_second,per_second_blinks_change,number_of_blushing_occurred,number_of_lip_pursing_occurred,answer
28.06190599835047,0.5131938522804784,0.18809974123192252,0,2,0
30.891898809868124,0.9078424093678577,0.2065488158554567,1,0,0
24.66815212363923,1.4380418984917234,1.0077038755458014,0,0,1
20.661927164597685,0.5430766181027697,0.1127385951568477,1,2,1
30.429428053472748,0.809757390600178,0.10846379708777709,0,0,0
28.433916173114767,0.6484593539260429,0.05283423958635802,0,0,0
22.860491312780695,1.0337638621812872,0.6034258392353652,3,0,1
34.38421640543406,0.08000300304241156,0.6212905904699894,1,0,0
35.53783371015845,0.36351954060839303,0.3377740529040079,0,1,0
24.95315816667859,0.6827894427119423,0.25245141976602026,4,0,1
21.853963712830407,0.5279681358952408,0.09763011294931878,3,0,1
35.241699510206544,0.4876250284180267,0.21366856509437426,0,1,0
25.781153552384026,0.8608517456588444,0.4305137227129223,0,1,1
34.80913755406024,0.5350145437412562,0.16627904977114472,0,0,0
42.64969060845846,0.9730505716083773,0.2717569780959763,1,0,0
28.562940462490616,0.9169025796335192,0.4865645566875971,2,0,1
43.530286098436875,1.1905220744983782,0.7601840515524562,1,0,1
38.0031879604701,0.4694205689459614,0.23187302456643955,0,0,0
34.76245982742138,0.9258343812984905,0.22454078778608955,0,0,0
21.451756933301866,0.7374415169760034,0.3071034940300813,0,1,1
32.75588177302292,0.38362920214567997,0.317664391366721,0,1,0
33.11814961572192,0.509837505632036,0.19145608788036494,0,0,0
16.738650541402677,0.5001287593138851,0.28307862292132928,3,0,1
40.01330774610774,0.4514586849447181,0.24983490856768287,0,0,0
25.50738321804066,0.4791754027869102,0.04883737984098813,2,0,1
24.07778214805272,0.23217764960615178,0.46911594390624917,1,0,0
23.646338978883477,0.5848225835586273,0.11647100995377369,0,0,0
24.345019048265854,0.5001869304212178,0.06984890747529571,1,0,1
58.72653186567838,0.8958331277126058,0.46549510476668376,1,0,1
31.938598091267536,0.45590163412331836,0.2453919593890826,0,0,0
32.28780079974118,0.9674109876662677,0.2661173941538667,0,0,0
46.63765446802168,0.6388904717824558,0.2085524488365338,2,3,1
19.45857968962568,0.9083412495732501,0.20704765606084918,0,0,0
21.60213823785314,0.6797834785608808,0.02151011495152011,0,0,0
21.29581368576342,1.300514819569748,0.870176796623826,1,0,1
20.302770163331786,0.2527555021860903,0.0927299118533979,0,1,0
11.693962904566689,0.6283003251333008,0.2828149110938126,0,0,0
26.738650541402677,0.5001287593138851,0.18307862292132928,3,1,1
14.681240594111557,0.3509550657788052,0.005469651739317016,0,2,0
15.909559389108637,0.509445991525153,0.16396057748566484,0,0,0
23.738650541402677,0.5001287593138851,0.28307862292132928,3,0,1
20.01476505802451,0.626935073949385,0.2814496599098968,0,0,0
43.869307772822566,0.1727789184726419,0.08180130450150613,10,2,0
12.596678383782987,0.3205989644846007,0.3205989644846007,1,1,0
23.738650541402677,0.3001287593138851,0.58307862292132928,3,0,1
13.738650541402677,0.3001287593138851,0.48307862292132928,2,1,1
8.650601089954506,0.42450265487227234,0.42450265487227234,0,0,0
31.748160991818168,0.3485442973178161,0.3485442973178161,2,0,0
12.387974408569548,0.5552355526637037,0.2198384960786498,1,2,1
5.7356518280611795,0.31057069671307996,0.03491471732640822,1,0,0
8.10315300584189,0.3139910922527153,0.03149432178677286,0,4,0
10.89805161062337,0.4830227895031807,0.13753737546369255,0,1,0
10.910582578092658,1.1004480970632968,0.3253740483209433,3,0,1
15.729319922774039,0.8710013864797616,0.09592733773740802,4,2,1
15.462160481615598,0.3875530386659163,0.3875530386659163,0,1,0
18.522645936520348,0.37146531293285767,0.37146531293285767,0,0,0
8.168133433398822,0.40049423173510096,0.40049423173510096,1,0,0
37.11830496767766,0.7835884164059939,0.264643848078574,7,2,1
30.53604031302406,0.860667670652972,0.34172310232555214,9,1,1
31.99776739977392,0.29365200177613676,0.2252925665512831,7,2,1
9.878602213665502,0.18549217969864482,0.18549217969864482,0,0,0
20.363017427676667,0.12218079296928173,0.12218079296928173,0,0,0
23.738650541402677,0.3001287593138851,0.38307862292132928,3,0,1
13.738650541402677,0.5001287593138851,0.28307862292132928,2,0,1
13.877030851660606,0.1725625516539296,0.1725625516539296,0,3,0
18.18554129894048,0.18367422635248593,0.18367422635248593,0,0,0
27.738650541402677,0.2001287593138851,0.18307862292132928,3,0,1
16.23399975270557,0.24190043602171254,0.24190043602171254,0,0,0
35.72333713570475,0.41705252912939056,0.1018920391980293,11,2,1
55.00229903385792,1.0378796719782655,0.5189351036508456,10,2,1
8.268247710839717,0.35430204082908356,0.35430204082908356,0,0,0
24.433434043053452,0.39237050112630956,0.39237050112630956,0,0,0
16.814079184257622,1.2213357777691067,0.7023912094416869,0,0,1
22.065744725066637,0.4253307239078818,0.0062984666000927,3,0,0
17.841872248938017,0.5724136150597284,0.14078442455175394,2,0,0
21.58771604636621,0.8855063836357445,0.45387719312777003,0,0,0
11.083228712313968,1.0756719458139214,0.5617899386934837,1,1,1
56.10831043178837,1.127447784166116,0.6135657770456782,3,1,1
17.795208162373427,0.38549833537266226,0.04613085513531223,1,0,0
